timestamp,temperature,humidity,occupancy,hvac_kw,refrigeration_kw,water_heater_kw,ev_charger_kw,lighting_sockets_kw,solar_generation_kw,total_consumption_kw,hour,dayofweek,month,dayofyear,is_weekend,is_peak_hour,cooling_degree_hours,heating_degree_hours,lag_1h,lag_2h,lag_3h,lag_24h,lag_168h,rolling_mean_6h,rolling_std_6h,rolling_mean_24h,rolling_std_24h
2025-01-08 00:00:00,1.3,80.17,0.2,4.44,0.148,0.105,6.538,0.192,0.0,11.423,0,2,1,8,0,0,0.0,19.7,5.897,6.132,7.54,4.937,12.777,6.577166666666666,1.0013853237723906,5.084666666666667,1.6246680909641504
2025-01-08 01:00:00,0.04,86.43,0.7,4.5,0.213,0.081,7.878,0.117,0.0,12.789,1,2,1,8,0,0,0.0,20.96,11.423,5.897,6.132,5.126,12.335,7.620666666666666,1.9979946613208766,5.354916666666667,2.075838121289109
2025-01-08 02:00:00,-0.33,84.17,1.4,4.5,0.1,0.118,7.128,0.219,0.0,12.065,2,2,1,8,0,0,0.0,21.33,12.789,11.423,5.897,4.968,11.737,8.474666666666666,2.908392041432296,5.6742083333333335,2.5696882737552738
2025-01-08 03:00:00,-0.05,86.68,1.0,4.5,0.151,0.091,0.0,0.16,0.0,4.902,3,2,1,8,0,0,0.0,21.05,12.065,12.789,11.423,5.053,4.967,9.307666666666666,3.1317520761814315,5.969916666666667,2.8750856004899967
2025-01-08 04:00:00,1.56,85.31,1.5,4.5,0.208,0.091,0.0,0.128,0.0,4.927,4,2,1,8,0,0,0.0,19.44,4.902,12.065,12.789,5.101,4.9,8.868,3.5823112092614244,5.9636249999999995,2.877343699717562
2025-01-08 05:00:00,2.98,79.31,0.8,4.5,0.1,0.115,0.0,0.127,0.0,4.842,5,2,1,8,0,0,0.0,18.02,4.927,4.902,12.065,4.888,4.89,8.667166666666667,3.793904290657148,5.956374999999999,2.879829883449488
2025-01-08 06:00:00,3.92,86.13,2.8,4.5,0.153,1.991,0.0,0.643,0.0,7.287,6,2,1,8,0,0,0.0,17.08,4.842,4.927,4.902,7.111,7.116,8.491333333333332,3.968403238919493,5.954458333333334,2.880587062436294
2025-01-08 07:00:00,5.95,81.31,2.2,4.5,0.239,1.924,0.0,0.503,0.384,7.166,7,2,1,8,0,0,0.0,15.05,7.287,4.842,4.927,7.547,7.273,7.802,3.7079856526151858,5.961791666666667,2.8838815174836943
2025-01-08 08:00:00,6.02,75.06,2.1,4.322,0.1,1.545,0.0,0.555,0.755,6.522,8,2,1,8,0,0,0.0,14.98,7.166,7.287,4.842,6.953,7.148,6.864833333333333,2.7932213243255086,5.945916666666666,2.8758133354895805
2025-01-08 09:00:00,9.48,89.65,2.5,3.553,0.171,0.111,0.0,0.277,0.77,4.111,9,2,1,8,0,0,0.0,11.52,6.522,7.166,7.287,4.478,4.413,5.941,1.1802897949233044,5.927958333333333,2.870592038301911
