timestamp,temperature,humidity,occupancy,hvac_kw,refrigeration_kw,water_heater_kw,ev_charger_kw,lighting_sockets_kw,solar_generation_kw,total_consumption_kw
2025-06-01 00:00:00,18.5,65,2,0.8,0.15,0.1,0.0,0.25,0.0,1.3
2025-06-01 01:00:00,17.8,68,2,0.6,0.15,0.1,0.0,0.2,0.0,1.05
2025-06-01 02:00:00,17.2,70,2,0.5,0.15,0.1,0.0,0.15,0.0,0.9
2025-06-01 03:00:00,16.9,72,2,0.5,0.15,0.1,0.0,0.15,0.0,0.9
2025-06-01 04:00:00,16.5,74,2,0.6,0.15,0.1,0.0,0.2,0.0,1.05
2025-06-01 05:00:00,17.0,73,2,0.9,0.15,0.5,0.0,0.4,0.0,1.95
2025-06-01 06:00:00,18.2,70,3,1.5,0.15,1.5,0.0,0.6,0.2,3.75
2025-06-01 07:00:00,20.1,65,3,2.2,0.15,1.8,0.0,0.8,1.1,4.95
2025-06-01 08:00:00,22.4,60,3,2.8,0.15,0.5,0.0,0.7,2.5,4.15
2025-06-01 09:00:00,24.5,55,1,3.2,0.15,0.2,0.0,0.4,3.8,3.95
2025-06-01 10:00:00,26.0,52,1,3.6,0.15,0.1,0.0,0.3,4.6,4.15
2025-06-01 11:00:00,27.2,48,1,4.0,0.15,0.1,0.0,0.3,5.2,4.55
2025-06-01 12:00:00,28.5,45,2,4.5,0.15,0.2,0.0,0.4,5.5,5.25
2025-06-01 13:00:00,29.1,44,2,4.8,0.15,0.1,0.0,0.4,5.4,5.45
2025-06-01 14:00:00,29.5,43,2,5.0,0.15,0.1,0.0,0.4,4.9,5.65
2025-06-01 15:00:00,29.0,45,2,4.7,0.15,0.2,0.0,0.5,4.0,5.55
2025-06-01 16:00:00,28.1,48,3,4.2,0.15,0.3,0.0,0.6,2.8,5.25
2025-06-01 17:00:00,27.0,52,4,3.8,0.15,0.8,0.0,0.9,1.5,5.65
2025-06-01 18:00:00,25.8,56,4,3.4,0.15,1.6,0.0,1.2,0.4,6.35
2025-06-01 19:00:00,24.5,60,4,3.0,0.15,1.2,7.2,1.5,0.0,13.05
2025-06-01 20:00:00,23.2,64,4,2.6,0.15,0.8,7.2,1.6,0.0,12.35
2025-06-01 21:00:00,22.0,67,3,2.2,0.15,0.4,7.2,1.4,0.0,11.35
2025-06-01 22:00:00,20.8,70,3,1.8,0.15,0.2,0.0,0.8,0.0,2.95
2025-06-01 23:00:00,19.5,72,2,1.2,0.15,0.1,0.0,0.4,0.0,1.85
2025-06-02 00:00:00,18.8,74,2,0.9,0.15,0.1,0.0,0.25,0.0,1.4
2025-06-02 01:00:00,18.0,76,2,0.7,0.15,0.1,0.0,0.2,0.0,1.15
2025-06-02 02:00:00,17.5,78,2,0.6,0.15,0.1,0.0,0.15,0.0,1.0
2025-06-02 03:00:00,17.0,80,2,0.5,0.15,0.1,0.0,0.15,0.0,0.9
2025-06-02 04:00:00,16.8,81,2,0.6,0.15,0.1,0.0,0.2,0.0,1.05
2025-06-02 05:00:00,17.2,79,2,0.9,0.15,0.5,0.0,0.4,0.0,1.95
2025-06-02 06:00:00,18.5,75,3,1.6,0.15,1.5,0.0,0.6,0.3,3.85
2025-06-02 07:00:00,20.5,70,3,2.3,0.15,1.8,0.0,0.8,1.2,5.05
2025-06-02 08:00:00,22.8,65,3,2.9,0.15,0.5,0.0,0.7,2.7,4.25
2025-06-02 09:00:00,25.0,58,1,3.4,0.15,0.2,0.0,0.4,4.0,4.15
2025-06-02 10:00:00,26.5,54,1,3.8,0.15,0.1,0.0,0.3,4.8,4.35
2025-06-02 11:00:00,27.8,50,1,4.2,0.15,0.1,0.0,0.3,5.4,4.75
2025-06-02 12:00:00,28.9,47,2,4.6,0.15,0.2,0.0,0.4,5.6,5.35
2025-06-02 13:00:00,29.5,45,2,5.0,0.15,0.1,0.0,0.4,5.5,5.65
2025-06-02 14:00:00,29.8,44,2,5.2,0.15,0.1,0.0,0.4,5.0,5.85
2025-06-02 15:00:00,29.3,46,2,4.9,0.15,0.2,0.0,0.5,4.2,5.75
2025-06-02 16:00:00,28.4,49,3,4.4,0.15,0.3,0.0,0.6,3.0,5.45
2025-06-02 17:00:00,27.3,53,4,4.0,0.15,0.8,0.0,0.9,1.7,5.85
2025-06-02 18:00:00,26.0,58,4,3.5,0.15,1.6,0.0,1.2,0.5,6.45
2025-06-02 19:00:00,24.8,62,4,3.1,0.15,1.2,7.2,1.5,0.0,13.15
2025-06-02 20:00:00,23.5,66,4,2.7,0.15,0.8,7.2,1.6,0.0,12.45
2025-06-02 21:00:00,22.3,69,3,2.3,0.15,0.4,7.2,1.4,0.0,11.45
2025-06-02 22:00:00,21.0,72,3,1.9,0.15,0.2,0.0,0.8,0.0,3.05
2025-06-02 23:00:00,19.8,74,2,1.3,0.15,0.1,0.0,0.4,0.0,1.95
